ID,injectionOrder,batch,color,shape,sample_name,sample_info
C61,0,0,,,C61,C6
C62,0,0,,,C62,C6
C63,0,0,,,C63,C6
C64,0,0,,,C64,C6
C91,0,0,,,C91,C9
C92,0,0,,,C92,C9
C93,0,0,,,C93,C9
C94,0,0,,,C94,C9
I561,0,0,,,I561,I56
I562,0,0,,,I562,I56
I563,0,0,,,I563,I56
I564,0,0,,,I564,I56
I591,0,0,,,I591,I59
I592,0,0,,,I592,I59
I593,0,0,,,I593,I59
I594,0,0,,,I594,I59
I861,0,0,,,I861,I86
I862,0,0,,,I862,I86
I863,0,0,,,I863,I86
I864,0,0,,,I864,I86
I891,0,0,,,I891,I89
I892,0,0,,,I892,I89
I893,0,0,,,I893,I89
I894,0,0,,,I894,I89
