,word,neighbor,max_score,score,detail
"[1, ]",MVL,MIL, 13.0000000,12,5+3+4
"[2, ]",MVL,MVI, 13.0000000,11,5+4+2
"[3, ]",MVL,MVL, 13.0000000,13,5+4+4
"[4, ]",MVL,MVM, 13.0000000,11,5+4+2
"[5, ]",VLS,ILS, 12.0000000,11,3+4+4
"[6, ]",VLS,VLS, 12.0000000,12,4+4+4
"[7, ]",LSP,ISP, 15.0000000,13,2+4+7
"[8, ]",LSP,LAP, 15.0000000,12,4+1+7
"[9, ]",LSP,LNP, 15.0000000,12,4+1+7
"[10, ]",LSP,LDP, 15.0000000,11,4+0+7
"[11, ]",LSP,LQP, 15.0000000,11,4+0+7
"[12, ]",LSP,LEP, 15.0000000,11,4+0+7
"[13, ]",LSP,LGP, 15.0000000,11,4+0+7
"[14, ]",LSP,LKP, 15.0000000,11,4+0+7
"[15, ]",LSP,LSP, 15.0000000,15,4+4+7
"[16, ]",LSP,LTP, 15.0000000,12,4+1+7
"[17, ]",LSP,MSP, 15.0000000,13,2+4+7
"[18, ]",LSP,FSP, 15.0000000,11,0+4+7
"[19, ]",LSP,VSP, 15.0000000,12,1+4+7
"[20, ]",SPA,APA, 15.0000000,12,1+7+4
"[21, ]",SPA,NPA, 15.0000000,12,1+7+4
"[22, ]",SPA,DPA, 15.0000000,11,0+7+4
"[23, ]",SPA,QPA, 15.0000000,11,0+7+4
"[24, ]",SPA,EPA, 15.0000000,11,0+7+4
"[25, ]",SPA,GPA, 15.0000000,11,0+7+4
"[26, ]",SPA,KPA, 15.0000000,11,0+7+4
"[27, ]",SPA,SPA, 15.0000000,15,4+7+4
"[28, ]",SPA,SPC, 15.0000000,11,4+7+0
"[29, ]",SPA,SPG, 15.0000000,11,4+7+0
"[30, ]",SPA,SPS, 15.0000000,12,4+7+1
"[31, ]",SPA,SPT, 15.0000000,11,4+7+0
"[32, ]",SPA,SPV, 15.0000000,11,4+7+0
"[33, ]",SPA,TPA, 15.0000000,12,1+7+4
"[34, ]",PAD,PAN, 17.0000000,12,7+4+1
"[35, ]",PAD,PAD, 17.0000000,17,7+4+6
"[36, ]",PAD,PAQ, 17.0000000,11,7+4+0
"[37, ]",PAD,PAE, 17.0000000,13,7+4+2
"[38, ]",PAD,PAS, 17.0000000,11,7+4+0
"[39, ]",PAD,PRD, 17.0000000,12,7+-1+6
"[40, ]",PAD,PND, 17.0000000,11,7+-2+6
"[41, ]",PAD,PDD, 17.0000000,11,7+-2+6
"[42, ]",PAD,PCD, 17.0000000,13,7+0+6
"[43, ]",PAD,PQD, 17.0000000,12,7+-1+6
"[44, ]",PAD,PED, 17.0000000,12,7+-1+6
"[45, ]",PAD,PGD, 17.0000000,13,7+0+6
"[46, ]",PAD,PHD, 17.0000000,11,7+-2+6
"[47, ]",PAD,PID, 17.0000000,12,7+-1+6
"[48, ]",PAD,PLD, 17.0000000,12,7+-1+6
"[49, ]",PAD,PKD, 17.0000000,12,7+-1+6
"[50, ]",PAD,PMD, 17.0000000,12,7+-1+6
"[51, ]",PAD,PFD, 17.0000000,11,7+-2+6
"[52, ]",PAD,PPD, 17.0000000,12,7+-1+6
"[53, ]",PAD,PSD, 17.0000000,14,7+1+6
"[54, ]",PAD,PTD, 17.0000000,13,7+0+6
"[55, ]",PAD,PYD, 17.0000000,11,7+-2+6
"[56, ]",PAD,PVD, 17.0000000,13,7+0+6
"[57, ]",ADK,ADR, 15.0000000,12,4+6+2
"[58, ]",ADK,ADQ, 15.0000000,11,4+6+1
"[59, ]",ADK,ADE, 15.0000000,11,4+6+1
"[60, ]",ADK,ADK, 15.0000000,15,4+6+5
"[61, ]",ADK,AEK, 15.0000000,11,4+2+5
"[62, ]",ADK,CDK, 15.0000000,11,0+6+5
"[63, ]",ADK,GDK, 15.0000000,11,0+6+5
"[64, ]",ADK,SDK, 15.0000000,12,1+6+5
"[65, ]",ADK,TDK, 15.0000000,11,0+6+5
"[66, ]",ADK,VDK, 15.0000000,11,0+6+5
"[67, ]",DKT,NKT, 16.0000000,11,1+5+5
"[68, ]",DKT,DRT, 16.0000000,13,6+2+5
"[69, ]",DKT,DNT, 16.0000000,11,6+0+5
"[70, ]",DKT,DQT, 16.0000000,12,6+1+5
"[71, ]",DKT,DET, 16.0000000,12,6+1+5
"[72, ]",DKT,DKA, 16.0000000,11,6+5+0
"[73, ]",DKT,DKN, 16.0000000,11,6+5+0
"[74, ]",DKT,DKS, 16.0000000,12,6+5+1
"[75, ]",DKT,DKT, 16.0000000,16,6+5+5
"[76, ]",DKT,DKV, 16.0000000,11,6+5+0
"[77, ]",DKT,DST, 16.0000000,11,6+0+5
"[78, ]",DKT,EKT, 16.0000000,12,2+5+5
"[79, ]",KTN,RTN, 16.0000000,13,2+5+6
"[80, ]",KTN,NTN, 16.0000000,11,0+5+6
"[81, ]",KTN,QTN, 16.0000000,12,1+5+6
"[82, ]",KTN,ETN, 16.0000000,12,1+5+6
"[83, ]",KTN,KAN, 16.0000000,11,5+0+6
"[84, ]",KTN,KNN, 16.0000000,11,5+0+6
"[85, ]",KTN,KSN, 16.0000000,12,5+1+6
"[86, ]",KTN,KTN, 16.0000000,16,5+5+6
"[87, ]",KTN,KTD, 16.0000000,11,5+5+1
"[88, ]",KTN,KTH, 16.0000000,11,5+5+1
"[89, ]",KTN,KTS, 16.0000000,11,5+5+1
"[90, ]",KTN,KVN, 16.0000000,11,5+0+6
"[91, ]",KTN,STN, 16.0000000,11,0+5+6
