Query.Mass,Matched.Compound,Matched.Form,Mass.Diff
440.0328,C00044,M-HCOOK+H[1+],0.00383624776998204
672.0354,C01222,M+HCOOK[1+],0.000235418229976858
147.113,C00047,M+H[1+],0.000195831230001886
147.113,C00437,M-CO+H[1+],0.000281209229996193
104.1074,C00114,M[1+],0.000139075000006983
104.1074,C00407,M-CO+H[1+],0.000494868230020984
104.1074,C00123,M-CO+H[1+],0.000494868230020984
445.0376,C00035,M(C13)+H[1+],0.00259416222996833
203.2231,C00750,M+H[1+],7.66812299843878e-05
313.0946,C01007,M-H4O2+H[1+],0.00153926923002246
175.119,C00062,M+H[1+],4.78212299981351e-05
175.119,C00792,M+H[1+],4.78212299981351e-05
329.0687,C19586,M+H[1+],0.003120795229961
329.0687,C16756,M+H[1+],0.003120795229961
329.0687,C19595,M+H[1+],0.0031235332299957
329.0687,C19585,M+H[1+],0.0031235332299957
329.0687,C19588,M-H2O+H[1+],0.00315610922996257
234.0135,C01042,M+NaCl[1+],0.000448869769996918
455.004,C00459,M-CO+H[1+],0.00246073522998813
250.9906,C00311,M+NaCl[1+],0.00227907677000871
250.9906,C00158,M+NaCl[1+],0.00227907677000871
656.0628,C01222,M+HCOONa[1+],0.00153541823010528
265.9612,C01159,M[1+],0.00193050000001449
265.9612,C00236,M[1+],0.00193050000001449
249.9873,C17938,M+NaCl[1+],0.000436466769997423
456.0073,C00044,M-HCOONa+H[1+],0.00323624777001896
153.1388,C03793,M-H4O2+H[1+],0.000245639230001871
213.0352,C00491,M-CO+H[1+],0.000924728770002048
228.0058,C14800,M+K[1+],0.000430438229983565
228.0058,C14802,M+K[1+],0.000430438229983565
212.0319,C03090,M-H2O+H[1+],8.52782300171384e-05
212.0319,C00450,M+HCOOK[1+],5.00377001344532e-06
212.0319,C14800,M+Na[1+],3.04382299987083e-05
212.0319,C14802,M+Na[1+],3.04382299987083e-05
190.05,C14800,M+H[1+],0.000130438230002028
190.05,C14802,M+H[1+],0.000130438230002028
190.05,C01252,M-H2O+H[1+],0.000165752230003591
190.05,C14801,M-H2O+H[1+],0.000165752230003591
330.0724,C00051,M+Na[1+],0.000686466770048355
156.0769,C05504,M(C13)+3H[3+],0.000345992563325126
156.0769,C00135,M+H[1+],0.000146986229992763
156.0769,C00881,M-C3H4O2+H[1+],0.000117614229992569
156.0769,C03771,M-H2O+H[1+],0.000182300229994325
116.071,C00077,M-NH3+H[1+],0.000345895230012161
116.071,C00763,M+H[1+],0.000394996229999833
116.071,C00148,M+H[1+],0.000394996229999833
116.071,C00515,M-NH3+H[1+],0.000345895230012161
116.071,C00956,M-HCOOH+H[1+],0.000315688230003275
132.1021,C00407,M+H[1+],0.000194868230011025
132.1021,C00123,M+H[1+],0.000194868230011025
132.1021,C01233,M-HCOOK+H[1+],0.000249836229983202
895.713,G13037,M+H[1+],0.00572353322991148
474.1229,C05674,M+H[1+],0.00461759476996804
146.0603,C00082,M-H4O2+H[1+],0.000330310229998076
146.0603,C05635,M-HCOOH+H[1+],0.000180374230012603
146.0603,C14800,M-CO2+H[1+],0.000230438230005348
146.0603,C14040,M-CO+H[1+],0.00034506023001768
146.0603,C14802,M-CO2+H[1+],0.000230438230005348
146.0603,C16596,M-HCOOH+H[1+],0.000180374230012603
